model,layer,pos,prob,example_id
base,0,38,0.0686413124203682,60
base,0,39,0.06876150518655777,60
base,0,40,0.06870204955339432,60
base,0,41,0.06863582879304886,60
base,0,42,0.06882383674383163,60
base,0,43,0.06879653036594391,60
base,0,44,0.06869493424892426,60
base,0,45,0.06864427775144577,60
base,0,46,0.0687764436006546,60
base,0,47,0.06871570646762848,60
base,0,48,0.06868448853492737,60
base,0,49,0.06873153895139694,60
base,0,50,0.0686912089586258,60
base,0,51,0.06871720403432846,60
base,0,52,0.06866380572319031,60
base,0,53,0.06867223978042603,60
base,0,54,0.0689169391989708,60
base,0,55,0.06859496980905533,60
base,0,56,0.06860365718603134,60
base,0,57,0.06852583587169647,60
base,4,38,0.06866917014122009,60
base,4,39,0.06878075748682022,60
base,4,40,0.06872072070837021,60
base,4,41,0.06877407431602478,60
base,4,42,0.06900417059659958,60
base,4,43,0.06887144595384598,60
base,4,44,0.0687275156378746,60
base,4,45,0.06868226081132889,60
base,4,46,0.06875178962945938,60
base,4,47,0.06869053840637207,60
base,4,48,0.06869306415319443,60
base,4,49,0.06873731315135956,60
base,4,50,0.06867743283510208,60
base,4,51,0.06876850873231888,60
base,4,52,0.06871835142374039,60
base,4,53,0.06862404197454453,60
base,4,54,0.06867506355047226,60
base,4,55,0.06835033744573593,60
base,4,56,0.06863520294427872,60
base,4,57,0.06855806708335876,60
base,8,38,0.06866729259490967,60
base,8,39,0.06872601062059402,60
base,8,40,0.06875821948051453,60
base,8,41,0.0687241330742836,60
base,8,42,0.06883853673934937,60
base,8,43,0.06828479468822479,60
base,8,44,0.0687088891863823,60
base,8,45,0.06872726231813431,60
base,8,46,0.06873823702335358,60
base,8,47,0.06869575381278992,60
base,8,48,0.06871524453163147,60
base,8,49,0.06870513409376144,60
base,8,50,0.06871204078197479,60
base,8,51,0.06879360973834991,60
base,8,52,0.06871479004621506,60
base,8,53,0.06870359927415848,60
base,8,54,0.06920616328716278,60
base,8,55,0.06839702278375626,60
base,8,56,0.06876711547374725,60
base,8,57,0.0685376450419426,60
base,12,38,0.06873022019863129,60
base,12,39,0.06872137635946274,60
base,12,40,0.06865771859884262,60
base,12,41,0.06873035430908203,60
base,12,42,0.06907905638217926,60
base,12,43,0.0684141144156456,60
base,12,44,0.06868774443864822,60
base,12,45,0.06874968856573105,60
base,12,46,0.06876843422651291,60
base,12,47,0.06869668513536453,60
base,12,48,0.06870375573635101,60
base,12,49,0.0687413141131401,60
base,12,50,0.06871449202299118,60
base,12,51,0.06885606795549393,60
base,12,52,0.06871536374092102,60
base,12,53,0.06870719790458679,60
base,12,54,0.06923183053731918,60
base,12,55,0.06829343736171722,60
base,12,56,0.06908811628818512,60
base,12,57,0.06820230185985565,60
base,16,38,0.06857889890670776,60
base,16,39,0.06871121376752853,60
base,16,40,0.0686076283454895,60
base,16,41,0.06875523179769516,60
base,16,42,0.06887925416231155,60
base,16,43,0.06805388629436493,60
base,16,44,0.06885313242673874,60
base,16,45,0.06862443685531616,60
base,16,46,0.06891672313213348,60
base,16,47,0.06874502450227737,60
base,16,48,0.0687745064496994,60
base,16,49,0.06869819760322571,60
base,16,50,0.06870892643928528,60
base,16,51,0.06864988058805466,60
base,16,52,0.06841404736042023,60
base,16,53,0.06838147342205048,60
base,16,54,0.06697089225053787,60
base,16,55,0.06836088001728058,60
base,16,56,0.06895609200000763,60
base,16,57,0.06687138974666595,60
base,20,38,0.06879496574401855,60
base,20,39,0.06861197203397751,60
base,20,40,0.06793460994958878,60
base,20,41,0.06858715415000916,60
base,20,42,0.06880000233650208,60
base,20,43,0.06800605356693268,60
base,20,44,0.0688508078455925,60
base,20,45,0.06861087679862976,60
base,20,46,0.06895330548286438,60
base,20,47,0.06870854645967484,60
base,20,48,0.06874220818281174,60
base,20,49,0.06872183084487915,60
base,20,50,0.06870438903570175,60
base,20,51,0.0686630830168724,60
base,20,52,0.0683385506272316,60
base,20,53,0.06821798533201218,60
base,20,54,0.06650124490261078,60
base,20,55,0.06845494359731674,60
base,20,56,0.06889808177947998,60
base,20,57,0.06678213179111481,60
base,24,38,0.06869710981845856,60
base,24,39,0.06861528754234314,60
base,24,40,0.06821805983781815,60
base,24,41,0.06880468130111694,60
base,24,42,0.0686609148979187,60
base,24,43,0.06810780614614487,60
base,24,44,0.06880670040845871,60
base,24,45,0.06860174238681793,60
base,24,46,0.06875903159379959,60
base,24,47,0.06871453672647476,60
base,24,48,0.06866134703159332,60
base,24,49,0.06876486539840698,60
base,24,50,0.06869778782129288,60
base,24,51,0.06870102137327194,60
base,24,52,0.0685618594288826,60
base,24,53,0.06830728054046631,60
base,24,54,0.06875089555978775,60
base,24,55,0.06789617985486984,60
base,24,56,0.06879474222660065,60
base,24,57,0.0671367347240448,60
base,28,38,0.06850514560937881,60
base,28,39,0.06867518275976181,60
base,28,40,0.06837671995162964,60
base,28,41,0.06898994743824005,60
base,28,42,0.0689585730433464,60
base,28,43,0.06862098723649979,60
base,28,44,0.06891842186450958,60
base,28,45,0.06868676096200943,60
base,28,46,0.06881006062030792,60
base,28,47,0.06866522878408432,60
base,28,48,0.06847473233938217,60
base,28,49,0.0688861832022667,60
base,28,50,0.06868690252304077,60
base,28,51,0.0686652883887291,60
base,28,52,0.06875162571668625,60
base,28,53,0.06859927624464035,60
base,28,54,0.06922321021556854,60
base,28,55,0.06798823922872543,60
base,28,56,0.06885233521461487,60
base,28,57,0.06745070219039917,60
base,32,38,0.0684986412525177,60
base,32,39,0.06870289891958237,60
base,32,40,0.06866264343261719,60
base,32,41,0.06887372583150864,60
base,32,42,0.06881885975599289,60
base,32,43,0.06867988407611847,60
base,32,44,0.06884904950857162,60
base,32,45,0.0687984749674797,60
base,32,46,0.06902194768190384,60
base,32,47,0.06864467263221741,60
base,32,48,0.0685824602842331,60
base,32,49,0.06873004883527756,60
base,32,50,0.06867203116416931,60
base,32,51,0.0685112401843071,60
base,32,52,0.06876426935195923,60
base,32,53,0.06863656640052795,60
base,32,54,0.068941630423069,60
base,32,55,0.06828334182500839,60
base,32,56,0.06869201362133026,60
base,32,57,0.06554839015007019,60
