,layer,pos,prob
0,0,0,0.017120426520705223
1,0,1,0.02662089094519615
2,0,2,0.030329598113894463
3,0,3,0.026831110939383507
4,0,4,0.02442728355526924
5,0,5,0.025438422337174416
6,0,6,0.02529348060488701
7,1,0,0.017142867669463158
8,1,1,0.022419026121497154
9,1,2,0.02445913478732109
10,1,3,0.02691246196627617
11,1,4,0.024107608944177628
12,1,5,0.025511452928185463
13,1,6,0.02651721052825451
14,2,0,0.01735834591090679
15,2,1,0.025207431986927986
16,2,2,0.02722475677728653
17,2,3,0.026042386889457703
18,2,4,0.024228153750300407
19,2,5,0.025637933984398842
20,2,6,0.026515156030654907
21,3,0,0.017639411613345146
22,3,1,0.024139365181326866
23,3,2,0.030590832233428955
24,3,3,0.026304297149181366
25,3,4,0.02422494813799858
26,3,5,0.025655120611190796
27,3,6,0.025788409635424614
28,4,0,0.017660725861787796
29,4,1,0.023890288546681404
30,4,2,0.03263125196099281
31,4,3,0.026646047830581665
32,4,4,0.02428959496319294
33,4,5,0.025665968656539917
34,4,6,0.025746745988726616
35,5,0,0.017667289823293686
36,5,1,0.024318255484104156
37,5,2,0.02922462671995163
38,5,3,0.027072153985500336
39,5,4,0.024217896163463593
40,5,5,0.025751836597919464
41,5,6,0.02529403381049633
42,6,0,0.023744426667690277
43,6,1,0.01905507594347
44,6,2,0.02843027561903
45,6,3,0.026404747739434242
46,6,4,0.024692757055163383
47,6,5,0.025663593783974648
48,6,6,0.02612573839724064
49,7,0,0.029728425666689873
50,7,1,0.010762234218418598
51,7,2,0.033240821212530136
52,7,3,0.02162606455385685
53,7,4,0.025007594376802444
54,7,5,0.025362292304635048
55,7,6,0.0258540827780962
56,8,0,0.024815838783979416
57,8,1,0.01100656297057867
58,8,2,0.04225833714008331
59,8,3,0.031463783234357834
60,8,4,0.02510656975209713
61,8,5,0.025548666715621948
62,8,6,0.025567684322595596
63,9,0,0.026045462116599083
64,9,1,0.016894856467843056
65,9,2,0.03425183892250061
66,9,3,0.042601101100444794
67,9,4,0.025807417929172516
68,9,5,0.025890056043863297
69,9,6,0.0254210177809
70,10,0,0.02328157052397728
71,10,1,0.019634069874882698
72,10,2,0.028068866580724716
73,10,3,0.028286587446928024
74,10,4,0.025853756815195084
75,10,5,0.02600562945008278
76,10,6,0.025482386350631714
77,11,0,0.02541990578174591
78,11,1,0.022745614871382713
79,11,2,0.02983582578599453
80,11,3,0.029286304488778114
81,11,4,0.027108589187264442
82,11,5,0.02590273506939411
83,11,6,0.02403103932738304
84,12,0,0.02618212066590786
85,12,1,0.024457698687911034
86,12,2,0.029732301831245422
87,12,3,0.03154805302619934
88,12,4,0.029652753844857216
89,12,5,0.026099564507603645
90,12,6,0.023867882788181305
91,13,0,0.026111861690878868
92,13,1,0.025250378996133804
93,13,2,0.02654569037258625
94,13,3,0.0285597313195467
95,13,4,0.030421603471040726
96,13,5,0.026670828461647034
97,13,6,0.026040874421596527
98,14,0,0.026151293888688087
99,14,1,0.024723663926124573
100,14,2,0.0248477254062891
101,14,3,0.02660057134926319
102,14,4,0.0307515487074852
103,14,5,0.027709290385246277
104,14,6,0.02701883390545845
105,15,0,0.02615807019174099
106,15,1,0.025215277448296547
107,15,2,0.02506047859787941
108,15,3,0.026832057163119316
109,15,4,0.030626220628619194
110,15,5,0.028257543221116066
111,15,6,0.028188329190015793
112,16,0,0.026152100414037704
113,16,1,0.025804074481129646
114,16,2,0.026581818237900734
115,16,3,0.02802950143814087
116,16,4,0.03139948472380638
117,16,5,0.028685886412858963
118,16,6,0.028341764584183693
119,17,0,0.026152363047003746
120,17,1,0.02540481463074684
121,17,2,0.02569911815226078
122,17,3,0.027550041675567627
123,17,4,0.033282320946455
124,17,5,0.029855985194444656
125,17,6,0.030764875933527946
126,18,0,0.02615673467516899
127,18,1,0.025178581476211548
128,18,2,0.0267682746052742
129,18,3,0.02721635065972805
130,18,4,0.03276176005601883
131,18,5,0.030094657093286514
132,18,6,0.03359294682741165
133,19,0,0.02615955099463463
134,19,1,0.025601552799344063
135,19,2,0.026562931016087532
136,19,3,0.02619934268295765
137,19,4,0.03299129009246826
138,19,5,0.030234402045607567
139,19,6,0.03504454344511032
140,20,0,0.026164447888731956
141,20,1,0.026042580604553223
142,20,2,0.02672712318599224
143,20,3,0.026765035465359688
144,20,4,0.03414113074541092
145,20,5,0.03142492100596428
146,20,6,0.052138544619083405
147,21,0,0.026169538497924805
148,21,1,0.025792215019464493
149,21,2,0.027635907754302025
150,21,3,0.027282683178782463
151,21,4,0.034199658781290054
152,21,5,0.03142933547496796
153,21,6,0.05399441719055176
154,22,0,0.026167497038841248
155,22,1,0.0257338285446167
156,22,2,0.026623327285051346
157,22,3,0.027263905853033066
158,22,4,0.03230597451329231
159,22,5,0.03146089240908623
160,22,6,0.06414875388145447
161,23,0,0.026166655123233795
162,23,1,0.026087118312716484
163,23,2,0.027036942541599274
164,23,3,0.026944942772388458
165,23,4,0.028543595224618912
166,23,5,0.02959492616355419
167,23,6,0.0699571967124939
168,24,0,0.026180138811469078
169,24,1,0.026605907827615738
170,24,2,0.027213918045163155
171,24,3,0.027342863380908966
172,24,4,0.027939045801758766
173,24,5,0.029116477817296982
174,24,6,0.07976622879505157
175,25,0,0.026183035224676132
176,25,1,0.026777230203151703
177,25,2,0.026541147381067276
178,25,3,0.039138298481702805
179,25,4,0.03179624304175377
180,25,5,0.03620888665318489
181,25,6,0.23839372396469116
182,26,0,0.02616938017308712
183,26,1,0.02694123424589634
184,26,2,0.026482000946998596
185,26,3,0.05209362879395485
186,26,4,0.03271064534783363
187,26,5,0.04064970090985298
188,26,6,0.36808598041534424
189,27,0,0.02617061324417591
190,27,1,0.02682812139391899
191,27,2,0.026035180315375328
192,27,3,0.05220680683851242
193,27,4,0.03279225900769234
194,27,5,0.042134761810302734
195,27,6,0.5505799055099487
196,28,0,0.02617046609520912
197,28,1,0.026995385065674782
198,28,2,0.026265814900398254
199,28,3,0.043390728533267975
200,28,4,0.033252958208322525
201,28,5,0.043212320655584335
202,28,6,0.5133621692657471
203,29,0,0.02617517113685608
204,29,1,0.026882505044341087
205,29,2,0.026085317134857178
206,29,3,0.046809855848550797
207,29,4,0.03406217694282532
208,29,5,0.046105727553367615
209,29,6,0.598724901676178
210,30,0,0.0261783879250288
211,30,1,0.026363691315054893
212,30,2,0.02586619183421135
213,30,3,0.043104950338602066
214,30,4,0.033394623547792435
215,30,5,0.04452115669846535
216,30,6,0.5646906495094299
217,31,0,0.026179976761341095
218,31,1,0.026137499138712883
219,31,2,0.025770798325538635
220,31,3,0.043382685631513596
221,31,4,0.033677905797958374
222,31,5,0.046390265226364136
223,31,6,0.7128322124481201
224,32,0,0.026184050366282463
225,32,1,0.026129312813282013
226,32,2,0.026227576658129692
227,32,3,0.046721890568733215
228,32,4,0.03440917283296585
229,32,5,0.04777887463569641
230,32,6,0.8075509071350098
231,33,0,0.026191595941781998
232,33,1,0.026181723922491074
233,33,2,0.02611904963850975
234,33,3,0.045612677931785583
235,33,4,0.03495406731963158
236,33,5,0.04682464152574539
237,33,6,0.7982735633850098
238,34,0,0.02620304934680462
239,34,1,0.02596696838736534
240,34,2,0.02583722025156021
241,34,3,0.04252726957201958
242,34,4,0.03443396836519241
243,34,5,0.0450890026986599
244,34,6,0.7928355932235718
245,35,0,0.026202762499451637
246,35,1,0.02593955397605896
247,35,2,0.02617962658405304
248,35,3,0.0313863679766655
249,35,4,0.03061099722981453
250,35,5,0.036249980330467224
251,35,6,0.6554469466209412
252,36,0,0.026209315285086632
253,36,1,0.02600342594087124
254,36,2,0.026291629299521446
255,36,3,0.028225984424352646
256,36,4,0.028880998492240906
257,36,5,0.032674383372068405
258,36,6,0.6071109771728516
259,37,0,0.02620946429669857
260,37,1,0.026158584281802177
261,37,2,0.026319313794374466
262,37,3,0.027695748955011368
263,37,4,0.02804599329829216
264,37,5,0.030616065487265587
265,37,6,0.4155261218547821
266,38,0,0.026210708543658257
267,38,1,0.025798726826906204
268,38,2,0.026206212118268013
