,layer,pos,prob
0,0,0,0.02201780304312706
1,0,1,0.03628013655543327
2,0,2,0.02455640584230423
3,0,3,0.024969005957245827
4,0,4,0.025739189237356186
5,0,5,0.025953836739063263
6,0,6,0.025342971086502075
7,1,0,0.025983944535255432
8,1,1,0.033150289207696915
9,1,2,0.024538889527320862
10,1,3,0.024908123537898064
11,1,4,0.025602608919143677
12,1,5,0.02591017447412014
13,1,6,0.025187987834215164
14,2,0,0.018463874235749245
15,2,1,0.029476329684257507
16,2,2,0.024608202278614044
17,2,3,0.025008413940668106
18,2,4,0.02535768412053585
19,2,5,0.025861037895083427
20,2,6,0.02524505741894245
21,3,0,0.020772287622094154
22,3,1,0.02851937711238861
23,3,2,0.024756601080298424
24,3,3,0.023858405649662018
25,3,4,0.025076784193515778
26,3,5,0.025809751823544502
27,3,6,0.025093043223023415
28,4,0,0.0231720469892025
29,4,1,0.027387388050556183
30,4,2,0.025240818038582802
31,4,3,0.023193974047899246
32,4,4,0.02456461824476719
33,4,5,0.02567422017455101
34,4,6,0.02529348060488701
35,5,0,0.024609623476862907
36,5,1,0.02771867625415325
37,5,2,0.025143548846244812
38,5,3,0.02433541789650917
39,5,4,0.024165261536836624
40,5,5,0.026008546352386475
41,5,6,0.02651721052825451
42,6,0,0.02762770466506481
43,6,1,0.02800484001636505
44,6,2,0.02402791939675808
45,6,3,0.024783289059996605
46,6,4,0.02439514547586441
47,6,5,0.026284832507371902
48,6,6,0.026515156030654907
49,7,0,0.027077553793787956
50,7,1,0.027146846055984497
51,7,2,0.02526029758155346
52,7,3,0.31373393535614014
53,7,4,0.024599239230155945
54,7,5,0.026296673342585564
55,7,6,0.025788409635424614
56,8,0,0.02657599188387394
57,8,1,0.02664492465555668
58,8,2,0.025380898267030716
59,8,3,0.6032359600067139
60,8,4,0.024610094726085663
61,8,5,0.02628769725561142
62,8,6,0.025746745988726616
63,9,0,0.026979388669133186
64,9,1,0.02581530064344406
65,9,2,0.02522403933107853
66,9,3,0.7124203443527222
67,9,4,0.02475043013691902
68,9,5,0.026562241837382317
69,9,6,0.02529403381049633
70,10,0,0.027218587696552277
71,10,1,0.025111250579357147
72,10,2,0.024664688855409622
73,10,3,0.9356077909469604
74,10,4,0.024884095415472984
75,10,5,0.02641286328434944
76,10,6,0.02525339461863041
77,11,0,0.027195338159799576
78,11,1,0.02473323792219162
79,11,2,0.024469463154673576
80,11,3,0.9749172329902649
81,11,4,0.025026734918355942
82,11,5,0.02610873058438301
83,11,6,0.025026408955454826
84,12,0,0.02718726173043251
85,12,1,0.025266554206609726
86,12,2,0.024177277460694313
87,12,3,0.978156566619873
88,12,4,0.024847188964486122
89,12,5,0.02612319588661194
90,12,6,0.024853266775608063
91,13,0,0.027268627658486366
92,13,1,0.02680465765297413
93,13,2,0.023326003924012184
94,13,3,0.9812657237052917
95,13,4,0.025211496278643608
96,13,5,0.026249684393405914
97,13,6,0.02459275722503662
98,14,0,0.02723841182887554
99,14,1,0.029981384053826332
100,14,2,0.023596810176968575
101,14,3,0.9838719367980957
102,14,4,0.024900365620851517
103,14,5,0.025905027985572815
104,14,6,0.024740979075431824
105,15,0,0.02723023295402527
106,15,1,0.031269460916519165
107,15,2,0.024819759652018547
108,15,3,0.9836265444755554
109,15,4,0.026004565879702568
110,15,5,0.02557702735066414
111,15,6,0.02462897263467312
112,16,0,0.027257515117526054
113,16,1,0.031460732221603394
114,16,2,0.024192338809370995
115,16,3,0.9799057841300964
116,16,4,0.028770627453923225
117,16,5,0.025701018050312996
118,16,6,0.02458183467388153
119,17,0,0.02730311080813408
120,17,1,0.033072859048843384
121,17,2,0.024829361587762833
122,17,3,0.9693648219108582
123,17,4,0.030511971563100815
124,17,5,0.026289064437150955
125,17,6,0.0259308610111475
126,18,0,0.02733706310391426
127,18,1,0.033180464059114456
128,18,2,0.02479768544435501
129,18,3,0.9567721486091614
130,18,4,0.02943299151957035
131,18,5,0.02766256220638752
132,18,6,0.026660414412617683
133,19,0,0.027394872158765793
134,19,1,0.033474069088697433
135,19,2,0.025408895686268806
136,19,3,0.9584104418754578
137,19,4,0.02972339652478695
138,19,5,0.028140943497419357
139,19,6,0.02761775255203247
140,20,0,0.027365906164050102
141,20,1,0.03363611921668053
142,20,2,0.025775589048862457
143,20,3,0.9510413408279419
144,20,4,0.02998882718384266
145,20,5,0.028622722253203392
146,20,6,0.027702562510967255
147,21,0,0.027437541633844376
148,21,1,0.03422173857688904
149,21,2,0.02631259523332119
150,21,3,0.9466922879219055
151,21,4,0.03149448707699776
152,21,5,0.030669668689370155
153,21,6,0.029914112761616707
154,22,0,0.027425367385149002
155,22,1,0.03486161306500435
156,22,2,0.027235276997089386
157,22,3,0.9385921359062195
158,22,4,0.030018312856554985
159,22,5,0.029468854889273643
160,22,6,0.032432522624731064
161,23,0,0.027398092672228813
162,23,1,0.03478323668241501
163,23,2,0.027687035501003265
164,23,3,0.92942214012146
165,23,4,0.02985336072742939
166,23,5,0.02884596586227417
167,23,6,0.03392603248357773
168,24,0,0.02738823927938938
169,24,1,0.034752536565065384
170,24,2,0.028597183525562286
171,24,3,0.9099177122116089
172,24,4,0.02980675920844078
173,24,5,0.029746828600764275
174,24,6,0.050095248967409134
175,25,0,0.027451111003756523
176,25,1,0.03471939638257027
177,25,2,0.028895026072859764
178,25,3,0.8945026397705078
179,25,4,0.030021898448467255
180,25,5,0.029705241322517395
181,25,6,0.0520259365439415
182,26,0,0.027490120381116867
183,26,1,0.03438130393624306
184,26,2,0.02923271805047989
185,26,3,0.879091739654541
186,26,4,0.029441382735967636
187,26,5,0.03000611811876297
188,26,6,0.06159767508506775
189,27,0,0.027575943619012833
190,27,1,0.033664271235466
191,27,2,0.029372191056609154
192,27,3,0.8761129379272461
193,27,4,0.02904476970434189
194,27,5,0.03008597530424595
195,27,6,0.06929613649845123
196,28,0,0.0275630634278059
197,28,1,0.03362452983856201
198,28,2,0.029768502339720726
199,28,3,0.8451800346374512
200,28,4,0.029085807502269745
201,28,5,0.03077773191034794
202,28,6,0.08590693771839142
203,29,0,0.027499046176671982
204,29,1,0.033266354352235794
205,29,2,0.029402833431959152
206,29,3,0.7859112024307251
207,29,4,0.03322894498705864
208,29,5,0.04024672135710716
209,29,6,0.2698422074317932
210,30,0,0.02755691669881344
211,30,1,0.03367763012647629
212,30,2,0.0298572089523077
213,30,3,0.7479677796363831
214,30,4,0.036821603775024414
215,30,5,0.04821362346410751
216,30,6,0.425478994846344
217,31,0,0.02744406834244728
218,31,1,0.03343484550714493
219,31,2,0.028202487155795097
220,31,3,0.6908422112464905
221,31,4,0.035390593111515045
222,31,5,0.048854198306798935
223,31,6,0.6375669836997986
224,32,0,0.02737055905163288
225,32,1,0.03329174965620041
226,32,2,0.02801395021378994
227,32,3,0.631246030330658
228,32,4,0.03429706394672394
229,32,5,0.048200033605098724
230,32,6,0.6430462598800659
231,33,0,0.02721269801259041
232,33,1,0.03230107203125954
233,33,2,0.028216339647769928
234,33,3,0.6015579700469971
235,33,4,0.035403601825237274
236,33,5,0.05200667306780815
