,layer,pos,prob
0,0,0,0.024242490530014038
1,0,1,0.037709031254053116
2,0,2,0.02504766173660755
3,0,3,0.024671439081430435
4,0,4,0.025698350742459297
5,0,5,0.025574225932359695
6,0,6,0.02563399076461792
7,1,0,0.0243078526109457
8,1,1,0.03909499570727348
9,1,2,0.02502034790813923
10,1,3,0.02318546548485756
11,1,4,0.025718821212649345
12,1,5,0.025633584707975388
13,1,6,0.02604813687503338
14,2,0,0.02451936900615692
15,2,1,0.040469277650117874
16,2,2,0.024936199188232422
17,2,3,0.022304827347397804
18,2,4,0.02555636316537857
19,2,5,0.02544547989964485
20,2,6,0.025728609412908554
21,3,0,0.02453768253326416
22,3,1,0.0394618920981884
23,3,2,0.02495259791612625
24,3,3,0.022512948140501976
25,3,4,0.025855040177702904
26,3,5,0.02624194696545601
27,3,6,0.026604434475302696
28,4,0,0.024555860087275505
29,4,1,0.03954952210187912
30,4,2,0.025306755676865578
31,4,3,0.023467890918254852
32,4,4,0.025364750996232033
33,4,5,0.02614409662783146
34,4,6,0.026186777278780937
35,5,0,0.024555671960115433
36,5,1,0.04065129533410072
37,5,2,0.025172267109155655
38,5,3,0.025113597512245178
39,5,4,0.02499236725270748
40,5,5,0.02643710933625698
41,5,6,0.02603163570165634
42,6,0,0.02731679007411003
43,6,1,0.03593119978904724
44,6,2,0.030144747346639633
45,6,3,0.02645486406981945
46,6,4,0.025191964581608772
47,6,5,0.02650153636932373
48,6,6,0.026419872418045998
49,7,0,0.01871979981660843
50,7,1,0.030353384092450142
51,7,2,0.02521180734038353
52,7,3,0.027576012536883354
53,7,4,0.02540452778339386
54,7,5,0.02682076394557953
55,7,6,0.027213236317038536
56,8,0,0.020797913894057274
57,8,1,0.02909315936267376
58,8,2,0.026949437335133553
59,8,3,0.030618607997894287
60,8,4,0.024784447625279427
61,8,5,0.026634398847818375
62,8,6,0.02669157087802887
63,9,0,0.02391061931848526
64,9,1,0.029208611696958542
65,9,2,0.02688848227262497
66,9,3,0.041554953902959824
67,9,4,0.025069333612918854
68,9,5,0.026584934443235397
69,9,6,0.027719754725694656
70,10,0,0.028503043577075005
71,10,1,0.025154730305075645
72,10,2,0.03469120338559151
73,10,3,0.5973117351531982
74,10,4,0.02492452599108219
75,10,5,0.027206650003790855
76,10,6,0.028405068442225456
77,11,0,0.028081925585865974
78,11,1,0.023705214262008667
79,11,2,0.030297622084617615
80,11,3,0.8354335427284241
81,11,4,0.027140408754348755
82,11,5,0.027704181149601936
83,11,6,0.02760898508131504
84,12,0,0.027186227962374687
85,12,1,0.021787162870168686
86,12,2,0.030740611255168915
