layer,position,acc,f1
0,0,0.38,0.20927536231884059
0,1,0.38,0.24157264957264957
0,2,0.4,0.30766283524904214
0,3,0.4,0.30766283524904214
1,0,0.38,0.20927536231884059
1,1,0.38,0.24157264957264957
1,2,0.4,0.30766283524904214
1,3,0.4,0.30766283524904214
2,0,0.38,0.20927536231884059
2,1,0.38,0.24157264957264957
2,2,0.4,0.30766283524904214
2,3,0.4,0.30766283524904214
3,0,0.38,0.20927536231884059
3,1,0.38,0.24157264957264957
3,2,0.4,0.30766283524904214
3,3,0.4,0.30766283524904214
4,0,0.38,0.20927536231884059
4,1,0.38,0.24157264957264957
4,2,0.4,0.30766283524904214
4,3,0.4,0.30766283524904214
5,0,0.38,0.20927536231884059
5,1,0.38,0.24157264957264957
5,2,0.4,0.30766283524904214
5,3,0.4,0.30766283524904214
