layer,position,acc,f1
0,0,0.14,0.08406597774244834
0,1,0.12,0.08860358056265984
0,2,0.12,0.09542307692307692
0,3,0.18,0.16255070254822576
1,0,0.14,0.08406597774244834
1,1,0.14,0.08406597774244834
1,2,0.12,0.09542307692307692
1,3,0.2,0.19656644439152177
2,0,0.14,0.08406597774244834
2,1,0.14,0.08406597774244834
2,2,0.12,0.09542307692307692
2,3,0.14,0.14112280701754387
3,0,0.14,0.08406597774244834
3,1,0.14,0.08406597774244834
3,2,0.12,0.09542307692307692
3,3,0.14,0.14112280701754387
4,0,0.14,0.08406597774244834
4,1,0.14,0.08406597774244834
4,2,0.12,0.09542307692307692
4,3,0.16,0.17116666666666663
5,0,0.14,0.08406597774244834
5,1,0.14,0.08406597774244834
5,2,0.12,0.09542307692307692
5,3,0.2,0.1888178488178488
